"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-default","CPU-default","p95-default","replicas-default","memory-default","dep_RPS-testing","dep_RPS-default","dep_RPS-rl-agent-e1-a2c","dep_RPS-rl-agent-e3-1","dep_RPS-rl-agent-e3-2"
1690386600000,744.9757575757576,96.02685857925485,4.658743961352655,3,559.8727272727273,78.95566486025729,4.148503371849982,4,0.7113666636081785,601.4153148181817,80.70737404070748,7.9310116592971065,4,0.5020048724328993,558.2690909090909,63.63546078617872,4.27045156782252,5,0.44849651943141405,450.13818181818175,67.22960424894391,4.248395126424737,5,0.4746838660562147,2234.9272727272723,2250.6909090909094,2239.490909090909,3007.076574090909,2791.345454545454
1690386720000,742.3333333333333,95.2207674459311,4.607422456995803,3,556.9454545454546,77.81681817130368,4.183554083885207,4,0.7507356148631353,606.9454545454546,75.88871659181697,4.622732919254662,5,0.5859910039427098,568.7018181818181,65.23285972037837,4.35634794083686,5,0.44906042239853733,447.8836363636363,66.99004834219,4.226481663669979,5,0.45447258354714126,2227,2239.4181818181814,2227.7818181818184,3034.7272727272716,2843.509090909091
1690386840000,750.3757575757576,93.9864499383103,4.697683932695481,3,565.4272727272728,80.26335804019388,4.209766933996004,4,0.7252756035536014,580.8300272457913,64.41460056279654,19.937631146830476,5,0.477651997845091,554.8654545454544,64.44856371832796,4.30151649259456,5,0.6173907837960012,453.26181818181817,66.13183573531869,4.198123370981758,5,0.4904528629191706,2251.1272727272726,2266.3090909090906,2261.709090909091,2904.1501362289564,2774.3272727272724
1690386960000,747.9030303030303,95.74815055175426,4.715032080659945,3,566.3454545454545,79.4070629890212,4.189548857746209,4,0.6131411716857857,591.8363704242423,71.99291790850793,8.007749896573369,5,0.3738105593724621,558.0254545454545,64.72133255820192,4.347834068634703,5,0.5644943213414996,453.21818181818173,66.40037982584583,4.235535866416766,5,0.44054028300377773,2243.7090909090907,2266.090909090909,2265.381818181818,2959.1818521212117,2790.1272727272717
1690387080000,747.6787878787877,95.84453890555332,4.664568756839207,3,565.2954545454545,78.31210958760977,4.167111456915,4,0.7268921017612358,586.4135216666667,71.69103235660195,8.012998427394056,5,0.2651885211696547,555.2727272727273,64.62571047404677,4.340922732890016,5,0.6299599537265311,454.7672727272727,66.56507864408903,4.226592927769394,5,0.49202173200362576,2243.0363636363636,2273.836363636364,2261.181818181818,2932.0676083333337,2776.363636363636
1690387200000,766.6727272727272,95.77363671814997,4.671364917108972,3,564.45,79.24777921686123,4.140949075942212,4,0.574167997774542,553.0007378787878,63.5251878344249,18.83379807570953,5,0.49186592669182827,559.5236363636363,65.47481970960627,4.360546435799421,5,0.5663660877754235,452.93090909090904,65.91669881591191,4.19479543556916,5,0.48070754464436316,2300.0181818181823,2264.6545454545458,2257.7999999999997,2765.0036893939396,2797.618181818182
1690387320000,770.5696969696969,96.34727422279536,4.8696455904862805,3,569.0636363636363,79.96125541443307,4.23353559585126,4,0.6519350119708046,614.3519772727273,82.43361636055566,21.74228354470521,3,0.6773065710363736,556.8181818181818,65.15476335971728,4.4012223323422495,5,0.4670441953786966,457.8181818181818,69.08449956493072,4.287489628468698,5,0.525798794890767,2311.7090909090907,2289.090909090909,2276.254545454545,3071.759886363636,2784.090909090909
1690387440000,768.4242424242424,97.33606051458607,4.75604458235704,3,572.4181818181818,80.50420002389855,4.256772781816898,4,0.5797601992087047,483.77335858585855,72.04124754335476,4.584515926134918,5,0.44513465578599504,554.3199999999999,64.13981409591212,4.28332109606743,5,0.6831138987494051,462.9527272727272,68.78986545934352,4.378927424005274,5,0.48795932215615134,2305.2727272727275,2314.763636363636,2289.6727272727276,2902.640151515151,2771.5999999999995
1690387560000,758.4424242424243,97.40795197008279,4.7864778176506055,3,580.9636363636363,81.4456450077017,4.3049540660088415,4,0.6180627254219997,589.8264492727272,72.95144632504542,8.006823982093987,5,0.46890924290053576,561.7418181818181,64.31065487906382,4.3338291638494475,5,0.48321755614144146,456.49090909090904,69.86505831099176,4.423406181300915,5,0.43130293110847917,2275.327272727273,2282.4545454545455,2323.854545454545,2949.132246363637,2808.709090909091
1690387680000,668.2969696969695,85.49646619745495,4.42720182613658,3,510.4363636363636,73.76109531334632,4.169346647155025,4,0.5066359327777678,596.172201939394,70.51184641336982,9.345352405804567,5,0.37848030019042134,566.4836363636363,66.09528061072955,4.368437720910502,5,0.7042285736194148,404.2327272727273,63.536010289190294,4.3114761699731705,5,0.5024084504327038,2004.8909090909087,2021.1636363636362,2041.7454545454543,2980.8610096969696,2832.4181818181814
1690387800000,679.6363636363635,89.92170596935203,4.487078066914497,3,509.32727272727266,73.29294572500966,4.106874460447997,4,0.48143766976649005,615.3337592053872,84.16326382577816,21.05046508096097,3,0.6444018230342978,560.7454545454544,65.87670429110332,4.384252683291497,5,0.5680535301639364,407.71636363636355,62.86039109901914,4.2998283001717015,5,0.5254793341778573,2038.9090909090905,2038.5818181818179,2037.3090909090904,3076.6687960269355,2803.727272727272
1690387920000,668.2424242424241,88.4871859048094,4.357809426390746,3,512.8409090909091,73.6020503511176,4.116291885165762,4,0.6706034963577039,502.0442424242424,72.65633693205865,4.500449135428122,5,0.5295758716170537,566.9563636363636,66.46691483157129,4.3707818588840075,5,0.5278857868095514,409.5854545454545,63.34143294154586,4.193840916125042,5,0.5058303254788186,2004.7272727272723,2047.9272727272726,2051.363636363636,3012.2654545454543,2834.7818181818184
1690388040000,685.0666666666666,90.0311089007722,4.449572257867397,3,517.0545454545454,74.7937822080829,4.167725046444858,4,0.6489287629580113,605.316902077922,60.40737750011268,23.798939127065825,5,0.3771027124070325,562.3854545454544,66.40075602721461,4.319199348698808,5,0.5006131543073558,415.3709090909091,62.60169708899784,4.185978464419476,5,0.5034293821313979,2055.2000000000003,2076.854545454545,2068.2181818181816,3026.5845103896104,2811.927272727273
1690388160000,775.6424242424242,96.26110518881981,4.808722591512014,3,585.540909090909,79.47090714584202,4.282986561156969,4,0.6166446820053757,619.1109896161615,83.29691003095489,17.811683058593772,3,0.5180505565119579,557.8945454545454,65.56717624686654,4.328389900434566,5,0.6053245750163706,468.32578844459726,65.84805013630448,4.273486183507928,5,0.4958188971887506,2326.9272727272723,2341.628942222986,2342.163636363636,3095.554948080808,2789.472727272727
1690388280000,778.2787878787879,97.27867776889093,4.814918484775832,3,591.5718973855496,82.41459712110839,4.207023624400595,4,0.6149848688794242,610.5994822828281,88.28330055038506,12.792990702102962,3,0.44421112589594686,559.6727272727271,66.16824324103362,4.422802946806655,5,0.5379224657594547,466.35151769025475,67.73258200614475,4.233995371177432,5,0.5323211978089991,2334.8363636363633,2331.7575884512735,2366.2875895421985,3052.9974114141414,2798.3636363636365
1690388400000,784.3696969696971,96.41599762011587,4.78845014807502,3,587.1976340274286,80.13367079648604,4.193274064477957,4,0.5183815538806009,604.3559034457277,73.33326083687197,4.571920182897182,5,0.4859789682921951,551.9261067082291,65.24516209671184,4.359246151801363,5,0.6968025600661346,470.7264050451546,68.18888648219091,4.234994728414033,5,0.4627296204793555,2353.109090909091,2353.632025225773,2348.790536109715,3021.7795172286383,2759.6305335411453
1690388520000,796,97.96426881475045,4.798979408056676,3,588.8029468931186,82.08379916633095,4.224629155378084,4,0.5869386394928919,717.8519600757575,77.4526466197058,23.31290206941909,5,0.5136862477251012,559.7454545454544,66.41271704404164,4.393075745983168,5,0.5345421935952603,473.3085134378,69.68296858392509,4.317058229891602,5,0.6664268225012365,2387.9999999999995,2366.542567189,2355.2117875724734,2871.4078403030303,2798.7272727272725
1690388640000,797.5612466317262,99.17954460156714,4.7910716052250235,3,593.0984282435409,81.9307485727263,4.206359157439942,4,0.6142400559988497,607.8416206868686,81.60084600915005,16.580832565683647,3,0.4911951218980829,555.6585084797645,65.94433650423235,4.318992876963026,5,0.5749560205849844,470.2353143153681,69.22967691464807,4.2833027826751024,5,0.6921703560144385,2392.683739895179,2351.1765715768406,2372.3937129741635,3039.2081034343432,2778.292542398822
1690388760000,796.2207700287181,99.10183320631802,4.9486884816768875,3,593.37020804342,82.95605066623324,4.238025429817434,4,0.652763167932916,603.36,72.9209996251744,4.591369122887688,5,0.44332275270707716,554.8,65.30628629859399,4.268400286944044,5,0.578213978968862,479.5018181818182,69.40276796126487,4.278678843226788,5,0.5373181998881648,2388.6623100861543,2397.509090909091,2373.48083217368,3016.8,2774
1690388880000,799.9151515151514,96.36683966049551,4.861120840630471,3,599.7818181818182,82.06962266853711,4.201064638783267,4,0.5557514732377347,703.0076640151515,76.35745765739333,25.373336153051817,5,0.5520827666935031,555.9381818181816,65.51616296588391,4.374292527365187,5,0.5864771058320493,478.93090909090904,69.20998756781566,4.312421303386081,5,0.5237663398350928,2399.745454545454,2394.654545454545,2399.1272727272717,2812.030656060606,2779.690909090909
1690389000000,927.8,103.00507433674935,17.503340184994826,3,675.4227272727271,85.3061234483076,4.381102647805584,4,0.619523576602344,593.3040026969696,79.5403851557179,8.300156663769084,3,0.6556497536621895,542.0036363636364,65.90023899158857,4.300616301611644,5,0.6975850683702403,529.3418181818181,70.4012289633646,4.359988634602466,5,0.7060885457078563,2783.3999999999996,2646.709090909091,2701.6909090909085,2966.5200134848483,2710.018181818182
1690389120000,574.7837318939393,90.86656733331283,4.713941698577472,3,699.8681818181818,93.74845839932048,4.40081893143567,4,0.691720514595264,592.1745454545454,73.03752657272818,4.628800060968642,5,0.5686438824175412,550.0581818181818,65.19205929143556,4.332168134421093,5,0.5281103858238604,459.51171562883087,67.09384926312056,4.259157068856321,6,0.38810485853567345,2873.918659469697,2757.070293772985,2799.4727272727273,2960.8727272727265,2750.290909090909
1690389240000,558.2586686721643,68.05641485991181,4.731692151482985,5,698.2863636363636,92.91700007262736,4.438899103014091,4,0.7290404807420328,718.5412109979908,75.49727461606977,22.37848833552647,5,0.47325313871485447,546.9900023203195,65.20498552516615,4.299551836156234,5,0.6424438516935831,459.3995949769528,67.88477474376926,4.28565702836847,6,0.5419441652183807,2791.2933433608214,2756.397569861717,2793.145454545454,2874.164843991963,2734.950011601598
1690389360000,937.4140323331487,103.36447202847125,18.9302275398629,3,706.5788218428152,92.27311291736595,4.43636247306663,4,0.5786444642945241,585.810710187026,75.45797420357432,21.455555916239575,5,0.5708094185612329,548.0218181818182,64.43201090608704,4.30048041498423,5,0.5627771938032855,464.9992340767583,68.15846171224571,4.29210216029203,6,0.5142852392427353,2812.242096999446,2789.9954044605497,2826.3152873712606,2929.0535509351294,2740.109090909091
1690389480000,570.5533893636364,86.35204465989003,4.586482640646137,4,704.3090909090909,92.48555276499471,4.282486650956058,4,0.6021258494201116,729.2180636868686,75.75082770803925,22.013988200576712,5,0.4462308224881123,551.7309090909091,65.64570483269934,4.360233616765436,5,0.6985629470879322,467.09090909090907,68.97098471740519,4.275324539088928,6,0.532349606750435,2852.766946818182,2802.5454545454545,2817.236363636364,2916.872254747474,2758.6545454545453
1690389600000,705.8045454545454,92.29039091491587,4.621963464938126,4,711.0227272727273,91.08660681397893,4.338332152974498,4,0.7130400874412256,728.5592078030303,76.19974707056616,25.256608437479215,5,0.5015076150824292,547.0763636363636,65.09763793511331,4.255704999550669,5,0.45981558085991026,470.4545454545454,68.31686052939034,4.2527180958159825,6,0.41718989119966865,2823.218181818181,2822.727272727272,2844.090909090909,2914.236831212121,2735.3818181818183
1690389720000,614.9342579461279,83.56259327507414,4.527606437455949,3,612.7818181818182,81.982300953704,4.20952005448224,4,0.7150891161404546,606.9934029939394,80.6964715087865,7.769413290581456,4,0.429684328105821,554.7599999999999,64.60623888779166,4.31441605312545,5,0.5170216236902863,406.6939393939394,62.79396598023865,4.235867626253308,6,0.6312969095235543,2459.7370317845116,2440.1636363636358,2451.127272727272,3034.9670149696967,2773.8
1690389840000,823.4727272727273,98.06732535644244,5.08806109725697,3,614.0181818181818,83.4646767342671,4.23632786424481,4,0.5174999720060128,492.16931818181814,62.08410199038904,4.479587076128309,6,0.6148150941763715,555.8254545454545,64.93135552145681,4.3688287396159975,5,0.4759191702155997,411.8393939393939,63.07487604767067,4.210984968605311,6,0.5022066957041267,2470.4181818181814,2471.036363636363,2456.072727272727,2953.0159090909087,2779.127272727272
1690389960000,818.3757575757575,101.53354950386463,5.113440197287272,3,615.2,84.56640419928172,4.249595925297115,4,0.7485435576415697,738.3482278939393,74.88362662646759,29.681252844498395,5,0.6579427984757384,560.3890909090908,64.60389414430784,4.3868336277668085,5,0.5272235920203718,413.03396061167905,63.570723537233974,4.262196678381544,6,0.4740343654309658,2455.1272727272726,2478.2037636700734,2460.8,2953.3929115757574,2801.9454545454546
1690390080000,814.1151515151515,97.71070721613876,4.865604288786117,3,625.1409090909091,82.6311916327259,4.213686054660128,4,0.6636792600805342,752.6947896515151,75.31781257902404,31.133721052773637,5,0.6233484597293502,563.7563636363636,64.50269761523472,4.368204381137365,5,0.5105519901584654,412.75507461473666,63.74736816067353,4.270205642821038,6,0.4923802161704364,2442.3454545454542,2476.53044768842,2500.5636363636363,3010.7791586060603,2818.781818181818
1690390200000,824.7454545454545,100.88101307277635,4.937183463989623,3,618.3818181818181,84.2559251594034,4.210038857794736,4,0.5327862511805148,749.3584651515152,74.55555851288617,27.981115169289364,5,0.3300811516101541,553.2581818181818,64.34040781310316,4.323913827044114,5,0.6460936160357105,415.27272727272725,62.93469604793309,4.199716713881021,6,0.46525278808705645,2474.2363636363634,2491.6363636363635,2473.5272727272727,2997.433860606061,2766.2909090909093
1690390320000,826.721212121212,98.60870740322105,6.103065539112054,3,621.740909090909,84.58466248683763,4.216415246228693,4,0.6037938531184661,728.7087786931818,74.47981330418938,30.68224248243788,5,0.5646618433743403,562.0799999999999,67.23315391346345,4.419803681620534,5,0.48955632479030997,419.0484848484848,63.676932252380276,4.202061726460909,6,0.5200763676864064,2480.163636363636,2514.290909090909,2486.963636363636,2914.8351147727267,2810.4000000000005
1690390440000,832.9030303030302,101.35950717390094,4.9995667388768545,3,620.7772727272727,85.22484698635762,4.259910529938056,4,0.6609289690759965,608.6217723878787,78.67437849724342,4.94220399619371,4,0.4818760567339442,558.2254545454545,66.95242309555957,4.456476602023612,5,0.5363899577829563,414.70909090909083,64.30150491676648,4.304929321203639,6,0.5108619891492008,2498.7090909090907,2488.254545454545,2483.1090909090904,3043.108861939394,2791.1272727272726
1690390560000,636.2935003030304,75.66420016203033,8.035465922002523,4,624.2136363636363,85.34060192551954,4.22728675645342,4,0.6973615360677662,591.9227312181818,72.96189189083815,4.58805570881254,5,0.5139679741111631,556.0218181818182,66.11478143165039,4.405911818131775,5,0.5560922289369897,416.0060606060606,63.81340928134986,4.282336497583132,6,0.5539834211112582,2545.174001212121,2496.0363636363636,2496.8545454545447,2959.613656090909,2780.109090909091
1690390680000,639.9615709090908,91.39667481082785,4.84313839681259,3,636.2363636363635,85.25558695430806,4.26276820083682,4,0.6584855353080016,728.7120941477274,74.63368223075099,28.426096918915494,4,0.5414868443931536,565.6218181818181,65.85582633645383,4.431445588532203,5,0.7621367073277201,420.15406345354705,63.68088522002157,4.283231454210879,6,0.45919840567580955,2559.8462836363633,2520.924380721282,2544.945454545454,2914.8483765909086,2828.1090909090904
1690390800000,840.5999999999999,102.28485064414659,5.897802528597197,3,628.7227272727273,85.61370297436727,4.2298038395874755,4,0.7423952379636787,781.8658011868686,85.05973795444957,26.62704850329777,3,0.4577686220967312,555.7927272727271,67.87738670292202,4.401377586298599,5,0.5806000570166433,417.8757575757575,63.85752727237352,4.237916465475621,6,0.5298063438756391,2521.7999999999997,2507.2545454545457,2514.8909090909087,3127.463204747474,2778.963636363636
1690390920000,632.5971579545454,84.75297946392391,4.500192963867596,3,637.059090909091,86.56908396734242,4.371631504499355,4,0.6555498247402177,749.562489090909,89.11837728142493,24.863378069988453,3,0.6976007583102847,561.3127272727272,67.81376280277468,4.4335021444667895,5,0.5919242193659342,424.61212121212117,65.06046546399739,4.378181907066555,6,0.48174561322759996,2530.388631818182,2547.672727272727,2548.236363636364,2998.249956363636,2806.5636363636363
1690391040000,632.3656392234848,79.2018085550632,4.619576636293033,4,637.9454545454546,86.55581430143752,4.3009112619406675,4,0.7374563667613395,596.8690264404203,75.81021040193711,4.613199561788381,5,0.5680945317347947,561.3599999999999,65.19879823013994,4.41067684016754,5,0.48947021054528517,422.0237452776304,64.88931820519372,4.3687227853805854,6,0.5495645663123395,2529.4625568939396,2532.1424716657825,2551.781818181818,2984.3451322021006,2806.7999999999997
