"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-default","CPU-default","p95-default","replicas-default","memory-default","dep_RPS-testing","dep_RPS-default","dep_RPS-rl-agent-e1-a2c","dep_RPS-rl-agent-e1-ppo","dep_RPS-rl-agent-e3-1","dep_RPS-rl-agent-e3-2"
2023-07-22 23:22:00,41.6,7.91,3.51,3,654,75.1,4.45,4,0.497,525,72.8,4.15,5,0.581,600,96.0,4.51,4,0.619,599,73.9,3.71,4,0.510,162,22.4,0.493,1,0.386,166,162,2617,2627,2398,2397
2023-07-22 23:24:00,40.3,9.79,3.67,3,885,96.3,4.70,2,0.634,526,72.1,4.14,5,0.643,795,95.8,4.50,3,0.654,598,74.3,3.65,4,0.618,154,20.3,0.494,1,0.425,161,154,2655,2628,2386,2390
2023-07-22 23:26:00,52.8,9.43,3.90,3,670,90.6,4.60,3,0.597,527,71.0,4.12,5,0.537,805,95.4,4.55,3,0.496,605,74.4,3.71,4,0.540,162,21.6,0.494,1,0.563,159,162,2681,2637,2414,2418
2023-07-22 23:28:00,49.5,9.05,3.50,3,659,95.9,4.56,3,0.573,527,73.1,4.16,5,0.513,603,77.8,4.45,3,0.520,594,73.7,3.65,4,0.586,144,21.0,0.494,1,0.575,148,144,2635,2635,2412,2376
2023-07-22 23:30:00,52.6,9.42,3.55,3,898,104,93.8,1,0.761,534,72.4,4.14,5,0.586,792,107,91.1,1,1.05,597,73.7,3.71,4,0.437,153,22.2,0.495,1,0.526,158,153,2695,2671,2375,2388
2023-07-22 23:32:00,49.1,8.95,3.67,3,2436,142,99.8,1,0.727,542,72.8,4.11,5,0.528,2230,147,96.2,1,0.792,603,73.7,3.62,4,0.524,153,21.9,0.494,1,0.405,147,153,2436,2710,2230,2413
2023-07-22 23:34:00,50.2,9.23,3.82,3,2432,141,99.8,1,0.288,546,73.1,4.11,5,0.482,2259,147,96.9,1,0.908,612,74.8,3.69,4,0.654,158,22.8,0.493,1,0.577,151,158,2432,2731,2259,2447
2023-07-22 23:36:00,49.6,9.76,4.18,3,695,89.6,4.72,3,0.578,545,72.6,4.14,5,0.498,598,90.8,4.45,3,0.479,603,74.6,3.67,4,0.523,162,23.2,0.492,1,0.850,149,162,2781,2725,2391,2412
2023-07-22 23:38:00,39.2,8.59,4.26,4,692,77.9,4.70,4,0.429,549,72.9,4.17,5,0.535,605,77.8,4.49,4,0.627,607,73.8,3.73,4,0.533,161,21.8,0.493,1,0.614,157,161,2770,2743,2420,2429
2023-07-22 23:40:00,53.3,10.9,4.23,3,934,102,4.83,3,0.505,547,73.6,4.24,5,0.593,826,101,4.65,3,0.464,612,75.3,3.79,4,0.373,160,22.1,0.497,1,0.428,160,160,2801,2735,2479,2448
2023-07-22 23:42:00,48.5,10.0,3.66,4,697,87.0,4.70,3,0.714,555,73.7,4.18,5,0.683,609,91.1,4.45,3,0.630,612,74.8,3.74,4,0.525,159,22.4,0.496,1,0.666,146,159,2789,2773,2436,2448
2023-07-22 23:44:00,51.7,9.71,3.63,3,700,76.1,4.85,4,0.431,553,74.2,4.17,5,0.686,612,76.7,4.57,4,0.499,617,74.8,3.71,4,0.661,157,22.5,0.498,1,0.427,155,157,2801,2764,2446,2467
2023-07-22 23:46:00,52.7,10.4,3.62,3,692,97.7,4.68,3,0.599,561,73.4,4.13,5,0.518,823,100.0,4.63,3,0.614,612,72.5,3.71,4,0.456,148,22.6,0.496,1,0.792,158,148,2768,2806,2470,2449
2023-07-22 23:48:00,52.2,9.97,3.69,3,966,104,24.7,2,0.498,566,72.2,4.15,5,0.521,616,87.6,4.41,3,0.494,616,73.2,3.69,4,0.475,146,21.5,0.496,1,0.263,157,146,2899,2829,2463,2464
2023-07-22 23:50:00,48.8,10.0,3.36,3,719,97.2,4.77,3,0.751,561,74.2,4.11,5,0.624,846,103,8.71,2,0.466,622,75.9,3.81,4,0.667,156,23.0,0.495,1,0.831,146,156,2876,2807,2537,2489
2023-07-22 23:52:00,51.6,9.73,3.43,3,720,78.6,38.2,3,0.446,565,73.6,4.15,5,0.545,630,90.9,4.39,3,0.451,506,65.7,3.94,5,0.491,153,22.5,0.498,1,0.450,155,153,2880,2827,2519,2529
2023-07-22 23:54:00,51.7,9.63,3.61,3,595,87.4,4.58,3,0.471,577,75.3,4.19,5,0.523,633,105,22.5,3,0.569,497,65.6,3.96,5,0.502,154,21.5,0.499,1,0.696,155,154,2977,2886,2533,2485
2023-07-22 23:56:00,49.7,9.86,3.69,3,736,97.8,4.85,3,0.395,572,75.2,4.28,5,0.629,847,96.0,4.46,3,0.630,500,65.5,3.92,5,0.484,159,22.6,1.05,1,0.638,149,159,2943,2861,2542,2501
