"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-default","CPU-default","p95-default","replicas-default","memory-default","dep_RPS-testing","dep_RPS-default","dep_RPS-rl-agent-e1-a2c","dep_RPS-rl-agent-e1-ppo","dep_RPS-rl-agent-e3-1","dep_RPS-rl-agent-e3-2"
2023-07-24 10:47:00,564,78.6,4.48,4,619,84.3,4.56,3,0.728,385,61.9,4.40,5,0.489,673,87.3,4.60,3,0.403,400,61.5,4.17,5,0.870,565,74.2,3.82,4,0.441,2257,2260,1856,1924,2019,2000
2023-07-24 10:48:00,572,79.7,4.53,4,623,83.8,4.58,3,0.694,380,61.5,4.44,5,0.567,673,86.8,4.48,3,0.322,400,60.9,4.16,5,0.829,580,74.4,3.87,4,0.546,2286,2319,1869,1902,2019,2000
2023-07-24 10:49:00,574,79.7,4.53,4,617,83.3,4.56,3,0.683,383,60.8,4.40,5,0.633,661,87.3,4.53,3,0.699,393,59.1,4.18,5,0.787,569,74.6,3.96,4,0.500,2294,2274,1852,1915,1983,1963
2023-07-24 10:50:00,574,80.5,4.53,4,621,80.8,4.53,3,0.822,376,57.0,4.38,5,0.581,669,87.4,4.57,3,0.679,396,60.4,4.16,5,0.685,578,73.5,3.86,4,0.544,2297,2311,1863,1882,2007,1980
2023-07-24 10:51:00,573,80.0,4.49,4,610,82.6,4.53,3,0.828,377,59.2,4.43,5,0.449,667,87.6,4.52,3,0.527,399,61.5,4.26,5,0.711,569,74.7,3.80,4,0.504,2292,2276,1830,1884,2002,1993
2023-07-24 10:52:00,574,80.4,4.56,4,612,84.8,4.57,3,0.760,377,61.0,4.43,5,0.544,661,87.7,4.51,3,0.498,395,60.6,4.18,5,0.817,578,74.2,3.81,4,0.443,2296,2313,1836,1883,1982,1977
2023-07-24 10:53:00,573,81.5,4.57,4,611,85.2,4.55,3,0.579,379,61.3,4.42,5,0.498,665,87.1,4.52,3,0.644,394,60.7,4.24,5,0.707,580,73.5,3.76,4,0.482,2292,2319,1832,1893,1995,1972
2023-07-24 10:54:00,571,79.8,4.61,4,613,85.7,4.66,3,0.639,377,61.1,4.38,5,0.565,666,88.3,4.62,3,0.557,393,60.6,4.24,5,0.730,579,74.0,3.93,4,0.447,2282,2316,1839,1884,1999,1963
2023-07-24 10:55:00,578,82.3,4.59,4,607,86.0,4.59,3,0.815,372,60.1,4.41,5,0.599,661,85.3,4.60,3,0.555,392,60.1,4.18,5,0.897,580,75.6,3.98,4,0.391,2312,2318,1820,1862,1983,1959
2023-07-24 10:56:00,576,82.4,4.60,4,609,84.5,4.48,3,0.847,370,59.3,4.41,5,0.623,653,86.5,4.54,3,0.546,394,60.4,4.18,5,0.766,578,75.0,3.93,4,0.385,2303,2313,1826,1852,1958,1972
2023-07-24 10:57:00,584,82.9,4.59,4,602,84.1,4.59,3,0.836,368,60.3,4.40,5,0.491,655,86.5,4.55,3,0.587,397,59.8,4.14,5,0.658,583,75.9,3.87,4,0.484,2334,2331,1806,1842,1966,1984
2023-07-24 10:58:00,576,81.9,4.59,4,594,81.7,4.58,3,0.825,370,59.5,4.47,5,0.518,648,86.1,4.50,3,0.722,385,59.3,4.16,5,0.606,581,72.9,3.84,4,0.555,2304,2325,1781,1848,1943,1926
2023-07-24 10:59:00,577,82.2,4.59,4,592,80.9,4.53,3,0.811,362,57.7,4.43,5,0.582,657,85.1,4.50,3,0.572,382,57.5,4.15,5,0.612,583,72.9,3.78,4,0.470,2307,2332,1777,1808,1971,1912
