"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-default","CPU-default","p95-default","replicas-default","memory-default","dep_RPS-testing","dep_RPS-default","dep_RPS-rl-agent-e1-a2c","dep_RPS-rl-agent-e1-ppo","dep_RPS-rl-agent-e3-1","dep_RPS-rl-agent-e3-2"
2023-07-23 00:07:00,38.6,8.36,4.44,4,749,100.0,4.90,3,0.526,491,67.2,4.22,6,0.492,640,96.5,4.37,3,0.626,510,67.2,3.97,5,0.418,154,22.3,0.495,1,0.437,154,154,2995,2946,2562,2548
2023-07-23 00:08:00,37.9,8.42,4.27,3,739,99.2,4.87,3,0.608,492,67.7,4.24,6,0.560,862,98.8,4.58,3,0.564,505,66.6,4.00,5,0.329,150,22.3,0.495,1,0.435,152,150,2956,2950,2585,2526
2023-07-23 00:09:00,54.2,9.83,3.79,3,734,79.2,4.89,4,0.610,492,67.6,4.20,6,0.535,645,76.5,4.58,4,0.361,507,67.0,3.99,5,0.475,157,22.4,0.498,1,0.268,162,157,2934,2952,2579,2537
2023-07-23 00:10:00,51.6,11.7,3.54,3,744,77.8,6.37,4,0.462,493,67.3,4.17,6,0.579,654,96.5,4.47,3,0.452,507,67.1,3.96,5,0.400,154,22.8,0.496,1,0.414,155,154,2977,2957,2616,2535
2023-07-23 00:11:00,50.3,10.0,3.86,3,742,98.4,7.24,4,0.417,495,67.7,4.16,6,0.595,856,100,4.62,3,0.490,508,67.4,4.04,5,0.384,149,22.0,0.496,1,0.583,151,149,2969,2969,2568,2542
2023-07-23 00:12:00,38.9,8.34,3.88,4,768,99.0,4.92,3,0.520,493,67.2,4.19,6,0.513,873,107,13.6,2,0.752,507,66.1,4.00,5,0.544,166,22.4,0.496,1,0.375,156,166,3072,2955,2619,2533
2023-07-23 00:13:00,40.6,9.97,3.86,3,749,98.4,4.87,3,0.570,491,67.2,4.19,6,0.558,623,66.3,4.82,4,0.482,505,66.8,4.03,5,0.470,152,23.1,0.496,1,0.567,163,152,2994,2946,2494,2527
2023-07-23 00:14:00,49.7,10.1,3.91,4,729,78.7,4.90,4,0.492,495,67.3,4.21,6,0.543,662,97.8,4.57,3,0.502,510,66.9,3.94,5,0.484,153,20.7,0.498,1,0.276,149,153,2915,2969,2646,2548
2023-07-23 00:15:00,38.3,9.42,3.88,3,750,77.2,7.01,4,0.496,501,68.3,4.25,6,0.494,874,101,4.59,3,0.618,512,67.6,4.00,5,0.427,150,22.1,1.14,1,0.365,153,150,3000,3006,2621,2559
2023-07-23 00:16:00,54.0,9.62,3.84,3,771,101,4.95,4,0.560,496,68.4,4.30,6,0.485,838,110,27.3,3,0.785,514,67.2,3.99,5,0.460,160,22.7,0.495,1,0.504,162,160,3084,2976,2515,2570
2023-07-23 00:17:00,38.0,9.64,3.95,3,749,99.2,4.81,3,0.584,498,69.0,4.28,6,0.601,652,85.8,4.28,3,0.597,512,67.0,4.04,5,0.521,156,21.8,0.498,1,0.418,152,156,2995,2989,2609,2559
2023-07-23 00:18:00,49.8,9.48,3.80,3,742,98.3,4.85,3,0.842,507,67.7,4.24,6,0.679,868,96.5,4.48,3,0.511,513,67.5,3.95,5,0.472,153,21.2,0.500,1,0.472,149,153,2966,3040,2604,2563
2023-07-23 00:19:00,51.4,10.4,3.61,2,760,79.9,6.50,4,0.635,503,68.6,4.21,6,0.488,878,102,4.54,3,0.481,514,67.2,3.97,5,0.542,159,22.4,0.495,1,0.590,154,159,3041,3017,2635,2568
2023-07-23 00:20:00,50.2,9.78,3.98,3,771,101,6.27,4,0.653,506,68.7,4.26,6,0.390,652,96.8,4.29,3,0.418,518,66.5,4.00,5,0.569,158,23.1,0.498,1,0.751,151,158,3085,3034,2608,2588
2023-07-23 00:21:00,52.5,10.2,3.91,2,776,101,4.86,3,0.530,508,69.5,4.31,6,0.557,878,96.4,4.63,3,0.524,515,68.1,3.94,5,0.490,149,22.3,0.496,1,0.648,158,149,3102,3050,2633,2576
