"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-default","CPU-default","p95-default","replicas-default","memory-default","dep_RPS-testing","dep_RPS-default","dep_RPS-rl-agent-e1-a2c","dep_RPS-rl-agent-e1-ppo","dep_RPS-rl-agent-e3-1","dep_RPS-rl-agent-e3-2"
2023-07-24 10:15:30,541,76.8,4.50,4,712,93.5,4.70,3,0.610,309,51.6,4.43,6,0.473,2031,126,93.7,1,0.317,425,62.1,4.23,5,0.709,541,71.4,3.83,4,0.511,2165,2162,2137,2164,2031,2127
2023-07-24 10:16:00,537,77.5,4.52,4,713,93.9,4.69,3,0.509,356,53.8,4.44,6,0.493,2022,144,94.0,1,0.376,429,62.5,4.17,5,0.697,543,71.9,3.80,4,0.500,2149,2170,2138,2137,2022,2144
2023-07-24 10:16:30,534,76.5,4.49,4,714,90.7,4.69,3,0.547,367,56.1,4.42,6,0.482,2004,145,93.6,1,0.585,429,61.6,4.14,5,0.573,539,70.5,3.79,4,0.434,2136,2156,2141,2199,2004,2146
2023-07-24 10:17:00,534,75.9,4.49,4,712,92.0,4.77,3,0.596,364,59.0,4.41,6,0.505,2022,145,93.6,1,0.938,424,63.3,4.16,5,0.627,541,71.9,3.85,4,0.534,2135,2162,2136,2187,2022,2122
2023-07-24 10:17:30,534,76.4,4.48,4,702,92.7,4.77,3,0.599,359,59.0,4.40,6,0.590,2021,145,93.5,1,1.54,421,62.5,4.16,5,0.576,534,71.0,3.84,4,0.432,2137,2135,2106,2152,2021,2104
2023-07-24 10:18:00,540,75.8,4.44,4,710,93.9,4.66,3,0.544,361,57.8,4.42,6,0.555,2004,144,93.4,1,1.40,419,62.5,4.19,5,0.674,537,69.4,3.80,4,0.431,2160,2149,2131,2167,2004,2095
2023-07-24 10:18:30,532,74.9,4.48,4,706,91.8,4.71,3,0.648,312,51.0,4.42,6,0.615,1991,135,93.4,1,0.944,421,60.7,4.27,5,0.664,546,71.0,3.80,4,0.334,2128,2186,2118,2181,1991,2107
2023-07-24 10:19:00,530,75.6,4.52,4,706,93.2,4.73,3,0.634,309,53.3,4.41,6,0.665,1889,135,93.2,2,1.14,420,62.9,4.29,5,0.729,544,71.7,3.79,4,0.351,2120,2176,2117,2162,1889,2101
2023-07-24 10:19:30,538,77.0,4.57,4,691,95.5,79.2,1,1.08,356,55.4,4.40,6,0.626,981,86.1,82.6,3,0.901,420,63.3,4.29,5,0.657,544,72.0,3.79,4,0.462,2152,2175,2073,2134,1961,2099
2023-07-24 10:20:00,534,76.7,4.59,4,674,108,93.0,1,0.975,361,60.3,4.42,5,0.633,666,71.1,8.60,4,0.563,417,63.7,4.27,5,0.696,546,71.1,3.79,4,0.414,2135,2185,2021,2166,1997,2084
2023-07-24 10:20:30,537,77.2,4.55,4,1955,123,94.0,1,1.32,363,62.0,4.47,5,0.631,527,64.9,4.69,4,0.476,420,63.9,4.29,5,0.561,546,71.4,3.81,4,0.553,2147,2185,1955,2175,2108,2099
2023-07-24 10:21:00,542,76.2,4.53,4,1987,130,92.6,1,1.04,431,65.2,4.47,5,0.675,531,72.5,4.52,4,0.441,419,64.3,4.31,5,0.583,542,72.2,3.84,4,0.550,2167,2169,1987,2153,2124,2096
2023-07-24 10:21:30,538,77.8,4.53,4,1988,137,91.8,1,1.09,424,67.4,4.47,5,0.572,526,76.5,4.56,4,0.448,416,63.9,4.31,5,0.687,545,72.2,3.82,4,0.675,2151,2178,1988,2120,2105,2079
2023-07-24 10:22:00,543,78.8,4.53,4,1988,137,91.6,1,0.813,423,66.2,4.45,5,0.625,522,76.6,4.52,4,0.564,420,63.3,4.28,5,0.559,549,72.0,3.76,4,0.675,2173,2197,1988,2117,2087,2099
2023-07-24 10:22:30,546,78.5,4.48,4,1978,137,91.7,1,0.786,430,65.2,4.41,5,0.588,519,76.5,4.49,4,0.502,417,63.5,4.30,5,0.665,545,71.3,3.73,4,0.658,2185,2180,1978,2148,2075,2087
2023-07-24 10:23:00,550,77.4,4.51,4,1994,137,92.1,1,1.08,425,65.0,4.43,5,0.514,525,76.5,4.49,4,0.456,420,64.5,4.32,5,0.652,549,72.2,3.79,4,0.558,2200,2195,1994,2127,2099,2100
2023-07-24 10:23:30,550,78.6,4.53,4,1987,138,91.6,1,0.895,427,65.2,4.43,5,0.544,526,76.6,4.49,4,0.523,418,63.6,4.32,5,0.642,550,70.6,3.79,4,0.478,2201,2200,1987,2134,2105,2090
2023-07-24 10:24:00,542,78.2,4.56,4,1905,138,91.4,2,0.945,426,64.0,4.43,5,0.601,527,76.8,4.51,4,0.534,415,63.3,4.28,5,0.755,551,71.3,3.77,4,0.539,2167,2204,1905,2131,2107,2075
2023-07-24 10:24:30,543,78.7,4.58,4,951,82.8,79.6,3,0.635,423,66.7,4.45,5,0.569,522,76.7,4.55,4,0.720,418,64.2,4.25,5,0.629,556,72.4,3.83,4,0.537,2172,2222,1902,2114,2089,2091
2023-07-24 10:25:00,548,77.7,4.55,4,681,67.1,9.46,4,0.579,424,65.4,4.46,5,0.464,521,76.7,4.55,4,0.634,418,63.4,4.24,5,0.638,548,72.2,3.84,4,0.483,2190,2192,2043,2118,2085,2092
2023-07-24 10:25:30,547,77.4,4.56,4,518,76.7,4.51,3,0.744,416,64.8,4.45,5,0.540,526,77.1,4.55,4,0.690,413,64.2,4.30,5,0.549,546,72.5,3.80,4,0.458,2188,2185,2070,2079,2106,2067
2023-07-24 10:26:00,550,77.3,4.58,4,522,85.0,4.52,3,0.766,418,64.6,4.42,5,0.588,518,74.7,4.53,3,0.696,415,64.3,4.34,5,0.585,549,71.3,3.81,4,0.405,2199,2197,2087,2088,2073,2076
2023-07-24 10:26:30,547,77.3,4.55,4,685,87.7,4.64,3,0.730,425,65.6,4.40,5,0.651,527,76.1,4.65,3,0.619,417,63.6,4.29,5,0.549,548,68.7,3.79,4,0.450,2188,2193,2056,2127,2107,2084
2023-07-24 10:27:00,550,75.6,4.52,4,682,89.5,4.76,3,0.692,418,65.7,4.39,5,0.676,697,83.1,4.63,3,0.549,416,63.4,4.22,5,0.711,549,72.1,3.81,4,0.410,2201,2196,2045,2089,2091,2079
2023-07-24 10:27:30,550,77.1,4.53,4,682,88.9,4.77,3,0.547,412,65.2,4.39,5,0.554,697,88.9,4.52,3,0.649,412,63.1,4.21,5,0.641,550,72.0,3.80,4,0.434,2201,2198,2045,2061,2092,2061
2023-07-24 10:28:00,546,79.0,4.52,4,678,90.4,4.66,3,0.622,415,65.3,4.39,5,0.619,694,86.4,4.57,3,0.484,409,62.6,4.22,5,0.748,552,71.5,3.82,4,0.543,2186,2210,2033,2074,2082,2046
2023-07-24 10:28:30,545,78.3,4.51,4,681,90.0,4.67,3,0.698,416,65.2,4.42,5,0.529,692,90.3,4.56,3,0.557,413,62.4,4.18,5,0.627,553,71.8,3.85,4,0.559,2181,2211,2042,2082,2076,2065
2023-07-24 10:29:00,548,77.5,4.52,4,669,88.0,4.63,3,0.738,418,65.5,4.41,5,0.528,695,89.9,4.59,3,0.572,415,62.6,4.20,5,0.652,555,72.7,3.80,4,0.510,2192,2222,2006,2091,2086,2074
2023-07-24 10:29:30,550,78.5,4.52,4,662,89.1,4.65,3,0.823,414,64.5,4.39,5,0.450,693,89.8,4.66,3,0.522,412,61.3,4.23,5,0.625,554,72.8,3.76,4,0.551,2198,2215,1986,2072,2079,2061
2023-07-24 10:30:00,549,77.6,4.47,4,662,88.4,4.59,3,0.837,409,64.1,4.42,5,0.458,690,88.0,4.63,3,0.659,406,61.1,4.26,5,0.665,552,71.9,3.74,4,0.567,2196,2206,1987,2045,2069,2032
2023-07-24 10:30:30,551,77.4,4.48,4,660,84.9,4.53,3,0.721,409,64.6,4.45,5,0.632,698,90.1,4.64,3,0.590,407,62.9,4.32,5,0.792,548,72.0,3.84,4,0.536,2206,2191,1980,2043,2095,2036
2023-07-24 10:31:00,554,77.6,4.51,4,669,86.0,4.57,3,0.653,410,64.4,4.44,5,0.572,700,90.0,4.64,3,0.551,409,62.2,4.25,5,0.701,552,72.6,3.91,4,0.531,2217,2209,2006,2048,2099,2044
